-0.335,0.693,-0.612,-0.181,0.670,-0.301,-0.738,351.670,-253.390,-351.274
-0.383,0.668,-0.599,-0.220,0.594,-0.208,-0.608,361.381,-304.049,-306.587
-0.424,0.640,-0.583,-0.266,0.779,-0.194,-0.484,345.641,-341.953,-277.058
-0.468,0.607,-0.563,-0.309,0.818,-0.205,-0.244,350.158,-385.413,-230.749
-0.506,0.573,-0.537,-0.358,0.914,-0.050,-0.329,342.948,-418.782,-191.396
-0.536,0.541,-0.513,-0.396,0.866,-0.212,-0.149,325.429,-449.426,-157.468
-0.570,0.496,-0.479,-0.447,0.872,0.015,0.475,317.804,-447.825,-89.148
-0.581,0.475,-0.463,-0.472,0.920,-0.133,0.069,314.560,-464.401,-75.401
-0.583,0.462,-0.454,-0.490,0.838,-0.059,0.368,309.638,-461.989,-51.552
-0.585,0.451,-0.444,-0.508,1.046,-0.067,0.402,309.768,-467.799,-57.368
-0.577,0.460,-0.451,-0.502,1.010,-0.119,0.185,319.263,-465.898,-65.276
-0.566,0.472,-0.462,-0.494,0.973,-0.074,0.210,302.938,-467.920,-62.924
-0.552,0.488,-0.471,-0.485,1.050,-0.147,0.195,322.032,-452.390,-73.037
-0.533,0.508,-0.486,-0.470,0.955,-0.135,0.056,300.218,-465.828,-105.661
-0.512,0.528,-0.504,-0.454,1.010,-0.093,0.033,306.207,-459.147,-141.539
-0.482,0.553,-0.520,-0.437,0.954,-0.089,-0.025,299.850,-430.861,-166.810
-0.449,0.578,-0.544,-0.409,0.820,-0.105,-0.321,304.965,-441.988,-199.384
-0.418,0.600,-0.562,-0.385,0.891,-0.084,-0.272,298.608,-413.703,-224.655
-0.382,0.625,-0.578,-0.359,0.793,-0.040,-0.516,292.381,-391.227,-255.743
-0.355,0.645,-0.589,-0.334,0.817,-0.067,-0.493,298.112,-372.925,-279.988
-0.328,0.666,-0.593,-0.312,0.837,-0.158,-0.522,280.841,-339.173,-298.882
-0.295,0.682,-0.608,-0.280,0.629,-0.021,-0.589,300.022,-318.747,-337.152
-0.263,0.697,-0.620,-0.246,0.658,-0.083,-0.616,293.046,-278.949,-344.862
-0.228,0.713,-0.630,-0.209,0.519,-0.069,-0.613,286.999,-256.419,-378.914
-0.171,0.733,-0.639,-0.155,0.360,-0.057,-0.903,296.899,-182.265,-377.741
-0.127,0.746,-0.643,-0.114,0.431,-0.051,-0.848,282.678,-123.220,-401.657
-0.079,0.755,-0.648,-0.063,0.305,-0.104,-1.118,271.849,-71.916,-397.547
-0.045,0.754,-0.654,-0.023,0.111,-0.017,-1.071,273.698,-24.569,-398.453
-0.016,0.753,-0.657,0.014,-0.011,-0.066,-1.097,292.751,17.270,-391.288
0.012,0.751,-0.658,0.051,-0.095,-0.087,-1.144,291.522,56.864,-375.653
0.023,0.748,-0.660,0.075,-0.117,-0.059,-1.172,291.495,74.403,-364.134
0.026,0.745,-0.660,0.087,-0.144,-0.058,-1.003,296.971,78.987,-363.017
0.037,0.744,-0.659,0.102,-0.142,-0.063,-0.936,284.264,100.483,-346.481
0.051,0.742,-0.657,0.119,-0.212,-0.070,-0.937,299.864,127.627,-350.704
0.071,0.739,-0.652,0.153,-0.324,-0.096,-0.914,317.669,160.318,-328.545
0.096,0.734,-0.643,0.198,-0.418,-0.120,-0.889,311.791,181.935,-306.453
